City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
274,Sao Filipe,CV,79.21,overcast clouds,14.8961,-24.4956,Hotel Xaguate
285,Zhuhai,CN,84.85,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
287,Morant Bay,JM,80.22,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
291,Axim,GH,78.69,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
295,Sahawar,IN,80.83,clear sky,27.8,78.85,कलुआ नगला
298,Poum,NC,75.51,scattered clouds,-20.2333,164.0167,Gîte kajeon
300,Richards Bay,ZA,76.55,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
302,Bangkalan,ID,87.75,light rain,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
303,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
305,Cairns,AU,87.06,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
308,Reyes,BO,75.4,broken clouds,-14.3167,-67.3833,
312,Les Cayes,HT,75.9,clear sky,18.2,-73.75,Villa Orphee
313,Bowen,AU,79.02,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
314,Maputo,MZ,77.23,few clouds,-25.9653,32.5892,Pestana Rovuma
315,Grand Gaube,MU,80.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
323,Wukari,NG,82.6,scattered clouds,7.85,9.7833,Elimtop
335,Buraydah,SA,81.05,few clouds,26.326,43.975,فندق راحة السلام
342,Palimbang,PH,81.97,light rain,6.2106,124.1894,Felmar Beach resort
345,Port Blair,IN,84.2,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
350,Samarai,PG,82.6,overcast clouds,-10.6167,150.6667,Nuli Sapi
354,Cayenne,GF,81.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
357,Acarau,BR,79.29,overcast clouds,-2.8856,-40.12,castelo pizzaria
359,Sinnamary,GF,77.99,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
362,Chepareria,KE,75.67,overcast clouds,1.3077,35.2039,Hamza Lodge
367,Puerto El Triunfo,SV,75.36,overcast clouds,13.2833,-88.55,Hotel Jardin
368,Gat,IL,79.81,overcast clouds,31.61,34.7642,OlusHome
375,Nuevo Progreso,MX,76.59,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
378,Thaton,MM,86.29,broken clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
380,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
387,Hobyo,SO,84.69,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
390,Makakilo City,US,75.56,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
391,Bambanglipuro,ID,80.89,moderate rain,-7.95,110.2833,Puri Brata
401,Waingapu,ID,84.88,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
405,Salinopolis,BR,78.51,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
411,Kuching,MY,89.82,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
415,Maumere,ID,84.25,broken clouds,-8.6199,122.2111,Sylvia Hotel
416,Cabo Rojo,PR,76.95,clear sky,18.0866,-67.1457,Hotel Perichi's
422,Canton,CN,84.99,overcast clouds,23.1167,113.25,Guangzhou Hotel
424,Belize,BZ,80.24,broken clouds,17.25,-88.75,Villa San Juan
425,Mitsamiouli,KM,86.29,few clouds,-11.3847,43.2844,Foyer ADM
430,Camacupa,AO,75.24,overcast clouds,-12.0167,17.4833,seviremde seni
431,Quatre Cocos,MU,80.1,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
436,Ugoofaaru,MV,80.35,heavy intensity rain,5.6667,73.0,Ungoofaaru Inn
437,Vanimo,PG,75.61,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
442,Mathathane,BW,81.54,clear sky,-22.2687,28.7495,Selepswe Resort
446,Yanam,IN,90.0,light rain,16.7333,82.2167,The Regency Hotel
447,Madang,PG,77.52,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
449,Denia,ES,77.47,overcast clouds,38.8408,0.1057,Hotel Port Dénia
451,Lahaina,US,77.0,broken clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
454,Lamu,KE,84.42,overcast clouds,-2.2717,40.902,Lamu House
458,Inhambane,MZ,80.58,scattered clouds,-23.865,35.3833,Oceano
459,Angoche,MZ,89.53,clear sky,-16.2325,39.9086,Guest House HESADA
461,Bloemfontein,ZA,76.48,clear sky,-29.1211,26.214,aha Bloemfontein Hotel
463,Sibolga,ID,84.63,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
467,Moratuwa,LK,82.42,light rain,6.773,79.8816,Sa Mansion By Yoho
471,Valenca Do Piaui,BR,75.13,overcast clouds,-6.4075,-41.7456,GN Hotel
476,Buala,SB,79.5,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
477,Vaitape,PF,79.25,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
482,Alice Springs,AU,89.15,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
486,Finschhafen,PG,78.03,moderate rain,-6.6024,147.8681,Cossam Guest House
487,Pandan,PH,82.15,scattered clouds,14.0453,124.1694,Bonifacio Lodge
498,Safidon,IN,82.53,clear sky,29.4167,76.6667,OYO 69884 Shri Balaji Guest House
504,Banda Aceh,ID,82.98,broken clouds,5.5577,95.3222,Sulthan Hotel International
505,Soure,BR,79.34,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
506,Eseka,CM,76.23,overcast clouds,3.65,10.7667,Complexe Hotelier Ndjiki Mpeck Eseka II
507,Wanning,CN,79.09,scattered clouds,18.8003,110.3967,Paradise Hotel
510,Bouna,CI,76.55,overcast clouds,9.2667,-3.0,Hotel Reserve
511,Abu Kamal,SY,80.58,overcast clouds,34.4506,40.9171,محطة التلفاز
516,Makurdi,NG,81.88,few clouds,7.7411,8.5121,Doo Palace Hotel
518,Mahbubabad,IN,84.29,broken clouds,17.6167,80.0167,Vedansh Residency
528,Erode,IN,75.63,overcast clouds,11.35,77.7333,Hotel Aishwaryaa - A Business Stay
529,Neiafu,TO,77.79,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
532,Gizo,SB,82.09,moderate rain,-8.103,156.8419,Imagination Island
536,Fare,PF,79.23,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
538,Kidal,ML,86.47,scattered clouds,18.4411,1.4078,
541,Gerash,IR,82.54,clear sky,27.6652,54.1371,Sa'adat House
542,Tessalit,ML,86.79,clear sky,20.1986,1.0114,
547,Padang,ID,87.85,overcast clouds,-0.9492,100.3543,Mercure Padang
552,Pafos,CY,81.23,few clouds,34.7667,32.4167,Elysium Hotel
558,Riyadh,SA,86.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
559,Bubaque,GW,83.32,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
563,Kahului,US,77.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
566,Boa Vista,BR,82.38,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
567,Budhlada,IN,86.49,clear sky,29.9333,75.5667,Sips and Bytes-Best Restaurants in Budhlada/Best Hotels in Budhlada
568,Kralendijk,BQ,78.78,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
572,Ardakan,IR,75.58,broken clouds,32.31,54.0175,Ardakan Hotel
573,Ca Mau,VN,85.66,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
575,Rock Sound,BS,79.41,overcast clouds,24.9,-76.2,Rock Sound Club
576,Gushikawa,JP,78.8,clear sky,26.3544,127.8686,Kirari Guest House
577,Bilma,NE,83.35,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
578,Yangjiang,CN,79.95,broken clouds,21.85,111.9667,HUALUXE Yangjiang City Center
584,Kalmunai,LK,85.33,overcast clouds,7.4167,81.8167,VS Villa
585,Le Port,RE,80.6,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
589,Nioki,CD,76.62,light rain,-2.7167,17.6833,
592,Dingle,PH,82.96,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
596,Gaya,IN,84.11,haze,24.7833,85.0,SPOT ON 61644 Hotel Kumar Kripa
598,Cockburn Town,TC,81.48,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
